Time	Position	Checkpoint
2.72	(-0.70, 3.50, -28.21)	StartPoint 1.1
2.72	(-0.70, 3.50, -28.21)	StartPoint 1.1
2.72	(-0.70, 3.50, -28.21)	StartPoint 1.1
2.72	(-0.70, 3.50, -28.21)	StartPoint 1.1
9.08	(-0.74, 5.77, -0.65)	CheckPoint 1.1
9.099999	(-0.74, 5.77, -0.65)	CheckPoint 1.1
9.139999	(-0.74, 5.77, -0.65)	CheckPoint 1.1
9.24	(-0.74, 5.77, -0.65)	CheckPoint 1.1
13.94	(-0.74, 5.77, -0.65)	CheckPoint 1.1
13.94	(-0.74, 5.77, -0.65)	CheckPoint 1.1
13.94	(-0.74, 5.77, -0.65)	CheckPoint 1.1
13.94	(-0.74, 5.77, -0.65)	CheckPoint 1.1
18.98	(-0.74, 5.77, -0.65)	CheckPoint 1.1
18.98	(-0.74, 5.77, -0.65)	CheckPoint 1.1
18.98	(-0.74, 5.77, -0.65)	CheckPoint 1.1
18.98	(-0.74, 5.77, -0.65)	CheckPoint 1.1
37.6	(2.79, 9.23, 80.50)	CheckPoint 1.2
37.6	(2.79, 9.23, 80.50)	CheckPoint 1.2
37.64	(2.79, 9.23, 80.50)	CheckPoint 1.2
37.64	(2.79, 9.23, 80.50)	CheckPoint 1.2
51.48	(2.79, 9.23, 80.50)	CheckPoint 1.2
51.48	(2.79, 9.23, 80.50)	CheckPoint 1.2
51.48	(2.79, 9.23, 80.50)	CheckPoint 1.2
51.48	(2.79, 9.23, 80.50)	CheckPoint 1.2
53.66	(2.79, 9.23, 80.50)	CheckPoint 1.2
53.66	(2.79, 9.23, 80.50)	CheckPoint 1.2
53.72	(2.79, 9.23, 80.50)	CheckPoint 1.2
53.78	(2.79, 9.23, 80.50)	CheckPoint 1.2
71.82	(2.79, 9.23, 80.50)	CheckPoint 1.2
71.82	(2.79, 9.23, 80.50)	CheckPoint 1.2
71.82	(2.79, 9.23, 80.50)	CheckPoint 1.2
71.82	(2.79, 9.23, 80.50)	CheckPoint 1.2
73	(2.79, 9.23, 80.50)	CheckPoint 1.2
73	(2.79, 9.23, 80.50)	CheckPoint 1.2
73.06	(2.79, 9.23, 80.50)	CheckPoint 1.2
73.06	(2.79, 9.23, 80.50)	CheckPoint 1.2
75.8	(2.79, 9.23, 80.50)	CheckPoint 1.2
75.8	(2.79, 9.23, 80.50)	CheckPoint 1.2
94.93999	(2.79, 9.23, 80.50)	CheckPoint 1.2
94.93999	(2.79, 9.23, 80.50)	CheckPoint 1.2
94.93999	(2.79, 9.23, 80.50)	CheckPoint 1.2
94.93999	(2.79, 9.23, 80.50)	CheckPoint 1.2
96.75999	(2.79, 9.23, 80.50)	CheckPoint 1.2
96.75999	(2.79, 9.23, 80.50)	CheckPoint 1.2
96.8	(2.79, 9.23, 80.50)	CheckPoint 1.2
96.8	(2.79, 9.23, 80.50)	CheckPoint 1.2
