Time	Position	Cause of Death
13.32	(-0.58, 4.88, 16.86)	Death Zone 1
13.32	(-0.58, 4.88, 16.86)	Death Zone 1
13.38	(-0.58, 4.53, 17.16)	Death Zone 1
13.38	(-0.58, 4.53, 17.16)	Death Zone 1
18.12	(-0.49, 4.90, 16.90)	Death Zone 1
18.12	(-0.49, 4.90, 16.90)	Death Zone 1
18.3	(-0.49, 4.71, 16.57)	Death Zone 1
18.3	(-0.49, 4.71, 16.57)	Death Zone 1
51.16	(3.79, 4.67, 123.08)	Death Zone 1
51.16	(3.79, 4.67, 123.08)	Death Zone 1
51.18	(3.79, 4.37, 123.18)	Death Zone 1
51.18	(3.79, 4.37, 123.18)	Death Zone 1
71.52	(-1.45, 4.49, 136.57)	Death Zone 1
71.52	(-1.45, 4.49, 136.57)	Death Zone 1
71.54	(-1.45, 4.19, 136.67)	Death Zone 1
71.54	(-1.45, 4.19, 136.67)	Death Zone 1
94.62	(2.67, 4.47, 139.49)	Death Zone 1
94.62	(2.67, 4.47, 139.49)	Death Zone 1
94.64	(2.67, 4.19, 139.59)	Death Zone 1
94.64	(2.67, 4.19, 139.59)	Death Zone 1
